ID,Address, Place of Occurrence,Acts,LATITUDE,LONGITUDE,Section
1,"Shiv Chowk, Bilaspur",BILASPUR,"BETTING & GAMBLING  under THE PUBLIC GAMBLING ACT, 1867",30.305831,77.293505,67
2,Bilaspura,BILASPUR,RASH DRIVING under IPC 1860,30.305831,77.293505,279
2,Bilaspura,BILASPUR,DEATH BY NEGLIGENCE under IPC 1860,30.30438,77.295908,304
3,"Shiv Chowk, Bilaspur",BILASPUR,"BETTING & GAMBLING  under THE PUBLIC GAMBLING ACT, 1867",30.305831,77.293505,67
4,Bilaspura,BILASPUR,"SUPPLYING OF WEAPONS under ARMS ACT, 1959",30.310672,77.308339,54
5,Bilaspura,BILASPUR,RASH DRIVING under IPC 1860,30.296461,77.294184,279
6,Bilaspura,BILASPUR,THEFT under IPC 1860,30.301966,77.297485,379
7,"Gulshan Kaluni, Bilaspur",BILASPUR,THEFT under IPC 1860,30.305987,77.3087,379
8,Bilaspura,BILASPUR,DISHONESTY under IPC 1860,30.301497,77.30169,420
9,Bilaspura,BILASPUR,THEFT under IPC 1860,30.306596,77.294995,379
11,BURIA,BURIA,THEFT BY TIREPASSING HOUSE under IPC 1860,30.160381,77.351287,454
12,jairampur ,BURIA,CARRYING OF ILLEGAL ARMED WEAPON under IPC 1860,30.164536,77.357511,148
13,dayalgarh,BURIA,THEFT BY TIREPASSING HOUSE under IPC 1860,30.159786,77.360557,454
14,khadar,BURIA,KIDNAPPING BY FORCE under IPC 1860,30.155075,77.339957,363
15,buria,BURIA,THEFT under IPC 1860,30.155075,77.339957,379
16,buria,BURIA,THEFT under IPC 1860,30.162385,77.352146,379
17,buria,BURIA,DISHONESTY under IPC 1860,30.159749,77.362961,420
18,Rakba village Fatehgarh,BURIA,THEFT under IPC 1860,30.157449,77.354549,379
19,buria,BURIA,CARRYING OF ILLEGAL ARMED WEAPON under IPC 1860,30.15975,77.352489,148
20,buria,BURIA,THEFT under IPC 1860,30.159401,77.356984,379
21,AREA VILL YAKUB PUR,CHHACHHRAULI,RASH DRIVING under IPC 1860,30.244076,77.353713,279
22,hedi,CHHACHHRAULI,RASH DRIVING under IPC 1860,30.24504,77.344143,279
23,hadauli,CHHACHHRAULI,CARRYING OF ILLEGAL ARMED WEAPON under IPC 1860,30.244224,77.363927,148
24,chachrauli,CHHACHHRAULI,DISHONESTY under IPC 1860,30.24415,77.362039,420
